id;firstname;lastname;birthdate;country_id;position;foot;height
841;Raheem Shaquille;Sterling;8.12.1994;83;Forward;right;170
842;Andreas;Hoelgebaum Pereira;1.01.1996;16;Midfielder;right;178
843;William;Troost-Ekong;1.09.1993;122;Defender;right;191
844;Milos;Veljkovic;26.09.1995;166;Defender;right;184
845;Pape Assane;Mbodji;20.09.1997;147;Midfielder;right;183
846;Moussa Sidi Yaya;Dembele;16.07.1987;16;Midfielder;left;185
847;Bryan;Ruiz Gonzalez;18.08.1985;39;Midfielder;left;188
848;Marcello;Trotta;29.09.1992;82;Forward;left;188
849;Victor;Moya Martinez;10.06.1997;158;Midfielder;right;182
850;Yuri;Zhirkov;20.08.1983;141;Midfielder;left;180
851;Iver;Fossum;15.07.1996;128;Midfielder;right;180
852;Bruno;da Silva Peres;1.03.1990;23;Defender;right;178
853;Salih;Ozcan;11.01.1998;178;Midfielder;right;180
854;Mattia;Vitale;1.10.1997;82;Midfielder;left;177
855;Dusko;Tosic;19.01.1985;148;Defender;left;185
856;Dzenis;Burnic;22.05.1998;64;Midfielder;left;181
857;Pylyp;Budkivskyi;10.03.1992;182;Forward;right;194
858;Luka;Milivojevic;7.04.1991;148;Midfielder;right;186
859;Jessy;Deminguet;7.01.1998;61;Midfielder;left;178
860;Miguel Angelo;da Silva Rocha;10.11.1994;138;Midfielder;right;186
861;Bertrand Isidore;Traore;6.09.1995;26;Forward;left;181
862;Vitor Hugo;Franchescoli de Souza;20.05.1991;23;Defender;right;187
863;Lemouya;Goudiaby;9.01.1997;61;Midfielder;right;178
864;Marcel;Benger;2.07.1998;64;Midfielder;right;188
865;Siriki;Sanogo;21.12.2001;40;Forward;left;178
866;Alberto;Lopez Jimenez;27.05.1995;158;Defender;left;173
867;Gylfi Thor;Sigurdsson;8.09.1989;75;Midfielder;right;186
868;Valentino;Lazaro;24.03.1996;10;Midfielder;right;178
869;Rodrigo;Ely;3.11.1993;23;Defender;right;192
870;Matteo;Politano;3.08.1993;82;Forward;left;171
871;Alessandro;Schopf;7.02.1994;10;Midfielder;right;178
872;Alejandro;Berenguer Remiro;4.07.1995;158;Forward;right;175
873;Rodrigue Casimir;Ninga;17.05.1993;33;Forward;right;186
874;Pape Cheik;Diop Gueye;8.08.1997;147;Midfielder;right;180
875;Killian;Sanson;7.06.1997;61;Midfielder;right;173
876;Baptiste;Santamaria;9.03.1995;61;Midfielder;right;183
877;Seybou;Koita;15.04.1994;125;Forward;right;180
878;Patrik;Carlgren;8.01.1992;165;Goalkeeper;right;188
879;Nick;Pope;19.04.1992;184;Goalkeeper;right;192
880;Bartolomeu Jacinto;Quissanga;27.03.1991;5;Defender;right;184
881;Saeid;Ezatolahi Afagh;1.10.1996;78;Midfielder;right;190
882;Yoann;Salmier;21.11.1992;61;Defender;right;188
883;Enes;Unal;10.05.1997;178;Forward;right;185
884;Guido;Guerrieri;25.02.1996;82;Goalkeeper;right;184
885;Roberto;Gagliardini;7.04.1994;82;Midfielder;right;188
886;Carlos;Soler Barragan;2.01.1997;158;Midfielder;right;180
887;Francisco Javier;Guerrero Martin;11.03.1996;158;Forward;right;185
888;Gerson;Santos da Silva;20.05.1997;23;Midfielder;left;175
889;Adam;Masina;2.01.1994;116;Defender;left;191
890;Alessandro;Bastoni;13.04.1999;82;Defender;left;190
891;Mirko;Antonucci;11.03.1999;82;Forward;right;181
892;Kevin Manuel;Rodrigues;5.03.1994;61;Defender;left;170
893;Farid;Boulaya;25.02.1993;61;Midfielder;right;180
894;Adrien;Thomasson;10.12.1993;61;Midfielder;right;177
895;Vasilije;Janjicic;2.11.1998;166;Midfielder;right;180
896;Anthony;Maisonnial;23.03.1998;61;Goalkeeper;right;188
897;Kouadio Yves;Dabila;1.01.1997;40;Defender;right;183
898;Amine;Harit;18.06.1997;61;Midfielder;right;179
899;Morgan;Sanson;18.08.1994;61;Midfielder;right;180
900;Corentin;Tolisso;3.08.1994;61;Midfielder;right;181
901;Abdallah;N'Dour;20.12.1993;147;Defender;left;186
902;Adrien;Rabiot;3.04.1995;61;Midfielder;left;188
903;Pione;Sisto Ifolo Emirmija;4.02.1995;157;Midfielder;right;171
904;Julian;Pollersbeck;16.08.1994;64;Goalkeeper;right;195
905;Gideon;Jung;12.09.1994;64;Defender;right;189
906;Weston;McKennie;28.08.1998;185;Midfielder;right;185
907;Johann;Obiang;5.07.1993;61;Defender;left;170
908;Flavien;Tait;2.02.1993;61;Midfielder;right;175
909;Michael Jordan;Nkololo;9.11.1992;61;Midfielder;right;183
910;Gabriel Fernando;de Jesus;3.04.1997;23;Forward;right;175
911;Fakhreddine;Ben Youssef;23.06.1991;177;Forward;right;192
912;Alejandro;Robles Garcia;28.01.1999;158;Defender;right;170
913;Domenico;Berardi;1.08.1994;82;Forward;left;183
914;Reece;Oxford;16.12.1998;184;Defender;right;191
915;Everton Luiz;Guimaraes Bilher;24.05.1988;23;Midfielder;right;173
916;Alexandre;Mendy;20.03.1994;61;Forward;right;185
917;Jamie;Vardy;11.01.1987;184;Forward;right;178
918;Moussa;Sylla;25.11.1999;61;Forward;right;181
919;Enzo;Crivelli;6.02.1995;61;Forward;right;184
920;Robin;Hack;27.08.1998;64;Midfielder;right;176
921;Vincent;Thill;4.02.2000;100;Midfielder;left;168
922;Benjamin;Pavard;28.03.1996;61;Defender;right;186
923;Jordan;Torunarigha;7.08.1997;64;Defender;left;189
924;Hotaru;Yamaguchi;10.06.1990;84;Midfielder;right;173
925;Alessandro;Confente;7.06.1998;82;Goalkeeper;right;194
926;Imad;Faraj;11.02.1999;61;Midfielder;right;172
927;Leo;Dubois;14.09.1994;61;Defender;right;178
928;Saif-Eddine;Khaoui;27.04.1995;61;Midfielder;left;182
929;Samuel;Garcia Sanchez;13.07.1990;158;Midfielder;right;179
930;Brian Oladapo;Idowu;18.05.1992;141;Defender;right;178
931;Vincent;Sierro;8.10.1995;166;Midfielder;right;185
932;Jorge;Mere Perez;17.04.1997;158;Defender;right;182
933;Riccardo;Orsolini;24.01.1997;82;Forward;left;183
934;Gerard;Valentin Sancho;28.07.1993;158;Defender;right;177
935;Eden;Massouema;29.06.1997;61;Midfielder;right;184
936;Eric;Dier;15.01.1994;184;Midfielder;right;188
937;Ademola;Lookman;18.07.1998;184;Midfielder;right;174
938;Sardar;Azmoun;1.01.1995;78;Forward;right;186
939;Bamidele;Alli;11.04.1996;184;Midfielder;right;188
940;Amadou;Diawara;17.07.1997;69;Midfielder;right;184
941;Karim;Ansarifard;3.04.1990;78;Forward;right;186
942;Quentin;Boisgard;17.03.1997;61;Midfielder;right;174
943;Nabil;Bentaleb;24.11.1994;61;Midfielder;left;187
944;Ehsan;Hajsafi;25.02.1990;78;Defender;left;176
945;Kevin;Malcuit;31.07.1991;61;Defender;right;178
946;Christopher;Jullien;22.03.1993;61;Defender;right;196
947;Alireza;Jahanbakhsh;11.08.1993;78;Forward;right;180
948;Ludovic;Blas;31.12.1997;61;Midfielder;left;180
949;Marco Jhonfai;Fabian De La Mora;21.07.1989;110;Midfielder;right;170
950;Caleb;Stanko;26.07.1993;185;Midfielder;right;180
951;Miguel Arturo;Layun Prado;25.06.1988;110;Defender;right;179
952;Allan;Saint-Maximin;12.03.1997;61;Forward;right;173
953;Marc;Navarro Ceciliano;2.07.1995;158;Defender;right;188
954;Marc;Roca Junque;26.11.1996;158;Midfielder;left;184
955;Oswaldo Augusto;Vizcarrondo Araujo;31.05.1984;189;Defender;right;191
956;Raul Alonso;Jimenez Rodriguez;5.05.1991;110;Forward;right;187
957;Hector Miguel;Herrera Lopez;19.04.1990;110;Midfielder;right;180
958;Luca;Crosta;23.02.1998;82;Goalkeeper;right;190
959;Bruno Miguel;Borges Fernandes;8.09.1994;138;Midfielder;right;179
960;Jesus Manuel;Corona Ruiz;6.01.1993;110;Forward;right;173
961;Javier Ignacio;Aquino Carmona;11.02.1990;110;Midfielder;right;168
962;Nordi;Mukiele Mulere;1.11.1997;61;Defender;right;186
963;Aleksandr;Erokhin;13.10.1989;141;Midfielder;right;195
964;Nicolas;Haas;23.01.1996;166;Midfielder;right;178
965;Oguzhan;Ozyakup;23.09.1992;122;Midfielder;right;180
966;Bel Durel;Avounou;25.09.1997;38;Midfielder;left;179
967;Ibrahim;Sangare;2.12.1997;40;Midfielder;right;191
968;Quentin;Cornette;17.01.1994;61;Forward;right;172
969;Mohamet Airam;Ramos Wade;13.04.2000;158;Goalkeeper;right;189
970;Branislav;Ivanovic;22.02.1984;148;Defender;right;185
971;Amr Medhat;Warda;17.09.1993;52;Midfielder;right;176
972;Sokratis;Papastathopoulos;9.06.1988;66;Defender;right;186
973;Ronaldo;Aparecido Rodrigues;10.09.1982;23;Defender;right;198
974;Philipp;Bargfrede;3.03.1989;64;Midfielder;right;174
975;Aleksandar;Ignjovski;27.01.1991;148;Defender;right;175
976;Zlatko;Junuzovic;26.09.1987;148;Midfielder;right;172
977;Niclas;Fullkrug;9.02.1993;64;Forward;right;189
978;Aaron;Hunt;4.09.1986;64;Midfielder;left;183
979;Claudio Miguel;Pizarro Bossio;3.10.1978;135;Forward;right;184
980;Manuel;Neuer;27.03.1986;64;Goalkeeper;right;193
981;Holger;Badstuber;13.03.1989;64;Defender;left;189
982;Jerome;Boateng;3.09.1988;64;Defender;right;192
983;Diego;Contento;1.05.1990;64;Defender;left;177
984;Marcio Rafael;Ferreira de Souza;7.09.1985;23;Defender;right;172
985;Luiz Gustavo;Dias;23.07.1987;23;Midfielder;left;187
986;Toni;Kroos;4.01.1990;64;Midfielder;right;183
987;David;Olatukunbo Alaba;24.06.1992;10;Defender;left;180
988;Franck Bilal;Ribery;7.04.1983;61;Midfielder;right;170
989;Arjen;Robben;23.01.1984;122;Midfielder;left;180
990;Takashi;Usami;6.05.1992;84;Forward;right;180
991;Mario;Gomez Garcia;10.07.1985;64;Forward;right;189
992;Thomas;Muller;13.09.1989;64;Forward;right;186
993;Nils;Petersen;6.12.1988;64;Forward;right;188
994;Sven;Ulreich;3.08.1988;64;Goalkeeper;right;192
995;Cristian;Molinaro;30.07.1983;82;Defender;left;182
996;Antonio;Rudiger;3.03.1993;64;Defender;right;191
997;Gotoku;Sakai;14.03.1991;185;Defender;right;176
998;Christian;Gentner;14.08.1985;64;Midfielder;right;189
999;Zdravko;Kuzmanovic;22.09.1987;166;Midfielder;right;185
1000;Ibrahima;Traore;21.04.1988;61;Midfielder;left;171
1001;Martin;Harnik;10.06.1987;64;Forward;right;185
1002;Vedad;Ibisevic;6.08.1984;21;Forward;right;188
1003;Shinji;Okazaki;16.04.1986;84;Forward;right;174
1004;Julian;Schieber;13.02.1989;64;Forward;left;186
1005;Rene;Adler;15.01.1985;64;Goalkeeper;right;191
1006;Fabian;Giefer;17.05.1990;64;Goalkeeper;right;196
1007;Bernd;Leno;4.03.1992;64;Goalkeeper;right;190
1008;Gonzalo;Castro Randon;11.06.1987;64;Midfielder;right;172
1009;Vedran;Corluka;5.02.1986;21;Defender;right;192
1010;Danny;Vieira da Costa;13.07.1993;64;Defender;right;187
1011;Bastian;Oczipka;12.01.1989;64;Defender;left;185
1012;Valentin;Vada;6.03.1996;7;Midfielder;right;175
1013;Omer;Toprak;21.07.1989;64;Defender;right;186
1014;Lars;Bender;27.04.1989;64;Midfielder;right;185
1015;Renato;Soares de Oliveira Augusto;8.02.1988;23;Midfielder;right;186
1016;Karim;Bellarabi;8.04.1990;64;Midfielder;right;183
1017;Eren;Derdiyok;12.06.1988;166;Forward;right;191
1018;Stefan;Kiessling;25.01.1984;64;Forward;right;191
1019;Andre;Schurrle;6.11.1990;64;Forward;right;184
1020;Roman;Weidenfeller;6.08.1980;64;Goalkeeper;left;190
1021;Mats;Hummels;16.12.1988;64;Defender;right;191
1022;Lukasz;Piszczek;3.06.1985;137;Defender;right;184
1023;Jonathan;Bamba;26.03.1996;61;Forward;right;175
1024;Neven;Subotic;10.12.1988;148;Defender;right;191
1025;Marvin;Bakalorz;13.09.1989;64;Midfielder;right;180
1026;Sven;Bender;27.04.1989;64;Defender;right;186
1027;Jakub;Blaszczykowski;14.12.1985;137;Midfielder;right;176
1028;Mario;Gotze;3.06.1992;64;Midfielder;right;176
1029;Ilkay;Gundogan;24.10.1990;64;Midfielder;right;180
1030;Ivan;Perisic;2.02.1989;41;Midfielder;right;186
1031;Shinji;Kagawa;17.03.1989;84;Midfielder;right;175
1032;Robert;Lewandowski;21.08.1988;137;Forward;right;185
1033;Michael;Esser;22.11.1987;64;Goalkeeper;right;198
1034;Andreas;Luthe;10.03.1987;64;Goalkeeper;right;195
1035;Adama;Diakhaby;5.07.1996;61;Forward;left;188
1036;Ferland;Mendy;8.06.1995;61;Defender;left;178
1037;Takashi;Inui;2.06.1988;84;Midfielder;right;169
1038;Christoph;Kramer;19.02.1991;64;Midfielder;right;191
1039;Isaac;Mbenza;8.03.1996;61;Forward;right;187
1040;Kevin;Vogt;23.09.1991;64;Defender;right;194
1041;Daniel;Ginczek;13.04.1991;64;Forward;right;190
1042;Ralf;Fahrmann;27.09.1988;64;Goalkeeper;right;196
1043;Sergio;Escudero Palomo;2.09.1989;158;Defender;left;176
1044;Benedikt;Howedes;29.02.1988;64;Defender;right;187
1045;Kyriakos;Papadopoulos;23.02.1992;66;Defender;right;185
1046;Julian;Draxler;20.09.1993;64;Midfielder;right;187
1047;Marco;Hoger;16.09.1989;64;Midfielder;right;182
1048;Lewis Harry;Holtby;18.09.1990;64;Midfielder;left;176
1049;Jose Manuel;Jurado Marin;29.06.1986;158;Midfielder;right;174
1050;Fagner;Conserva Lemos;11.06.1989;23;Defender;right;168
1051;Jefferson Agustin;Farfan Guadalupe;26.10.1984;135;Forward;right;178
1052;Jaroslav;Drobny;18.10.1979;44;Goalkeeper;right;190
1053;Tom;Mickel;19.04.1989;64;Goalkeeper;right;184
1054;Dennis;Aogo;14.01.1987;64;Defender;left;184
1055;Jeffrey;Bruma;13.11.1991;122;Defender;right;190
1056;Dennis;Diekmeier;20.10.1989;64;Defender;right;188
1057;Gojko;Kacar;26.01.1987;148;Midfielder;right;185
1058;Tomas Eduardo;Rincon Hernandez;13.01.1988;189;Midfielder;right;177
1059;Jacopo;Sala;5.12.1991;82;Defender;right;181
1060;Per Ciljan;Skjelbred;16.06.1987;128;Midfielder;right;175
1061;Heung-Min;Son;8.07.1992;89;Forward;right;183
1062;Diego;Benaglio;8.09.1983;166;Goalkeeper;right;194
1063;Marwin;Hitz;18.09.1987;166;Goalkeeper;right;193
1064;Robin;Knoche;22.05.1992;64;Defender;right;190
1065;Ricardo Ivan;Rodriguez Araya;25.08.1992;166;Defender;left;180
1066;Marco;Russ;4.08.1985;64;Defender;right;190
1067;Makoto;Hasebe;18.01.1984;84;Midfielder;right;180
1068;Maximilian;Arnold;27.05.1994;64;Midfielder;left;184
1069;Adelino Andre;Vieira Freitas;24.01.1986;138;Midfielder;right;172
1070;Mario;Mandzukic;14.01.1986;41;Forward;right;187
1071;Giovanni-Guy Yann;Sio;31.03.1989;61;Forward;left;180
1072;Damir;Ceter Valencia;2.11.1997;36;Forward;right;187
1073;Keagan;Dolly;22.01.1993;156;Forward;left;170
1074;Oliver;Baumann;2.06.1990;64;Goalkeeper;right;187
1075;Bongani;Zungu;9.10.1992;156;Midfielder;right;184
1076;Oliver;Sorg;29.05.1990;64;Defender;right;175
1077;Daniel;Caligiuri;15.01.1988;64;Midfielder;right;182
1078;Fallou;Diagne;14.08.1989;147;Defender;right;185
1079;Matthias;Ginter;19.01.1994;64;Defender;right;191
1080;Karim;Guede;7.01.1985;174;Forward;right;184
1081;Martin;Skrtel;15.12.1984;152;Defender;right;191
1082;Jonathan;Schmid;26.06.1990;61;Midfielder;right;179
1083;Julian;Schuster;15.04.1985;64;Midfielder;right;189
1084;Ivan;Santini;21.05.1989;41;Forward;right;190
1085;Marc-Andre;ter Stegen;30.04.1992;64;Goalkeeper;right;187
1086;Dante Bonfim;da Costa Santos;18.10.1983;23;Defender;left;188
1087;Havard;Nordtveit;21.06.1990;128;Midfielder;right;188
1088;Oscar;Wendt;24.10.1985;165;Defender;left;181
1089;Matthias;Zimmermann;16.06.1992;64;Midfielder;right;177
1090;Tony;Jantschke;7.04.1990;64;Defender;right;177
1091;Mathew;Leckie;4.02.1991;9;Forward;right;181
1092;Roman Petrovich;Neustadter;18.02.1988;141;Defender;right;188
1093;Marco;Reus;31.05.1989;64;Forward;right;180
1094;Ron-Robert;Zieler;12.02.1989;64;Goalkeeper;right;188
1095;Konstantin;Rausch;15.03.1990;141;Defender;left;182
1096;Manuel;Schmiedebach;5.12.1988;64;Midfielder;right;171
1097;Lars;Stindl;26.08.1988;64;Forward;right;181
1098;Mame Biram;Diouf;16.12.1987;147;Forward;right;185
1099;Tobias;Sippel;22.03.1988;64;Goalkeeper;right;183
1100;Kevin;Trapp;8.07.1990;64;Goalkeeper;right;189
1101;Lucas;Tousart;29.04.1997;61;Midfielder;right;185
1102;Renato Fabrizio;Tapia Cortijo;28.07.1995;135;Midfielder;right;182
1103;Willi;Orban;3.11.1992;64;Defender;right;186
1104;Olcay;Sahan;26.05.1987;64;Midfielder;right;179
1105;Nicolai;Jorgensen;15.01.1991;47;Forward;right;190
1106;Sandro;Wagner;29.11.1987;64;Forward;right;194
1107;Thomas;Kraft;22.07.1988;64;Goalkeeper;right;187
1108;Christoph;Janker;14.02.1985;64;Defender;right;185
1109;Fabian;Lustenberger;2.05.1988;166;Defender;right;180
1110;Raffael;Caetano de Araujo;28.03.1985;23;Forward;right;174
1111;Dominik;Maroh;4.03.1987;64;Defender;right;186
1112;Marvin;Plattenhardt;26.01.1992;64;Defender;left;181
1113;Philipp;Wollscheid;6.03.1989;64;Defender;right;194
1114;Daniel;Didavi;21.02.1990;64;Midfielder;left;180
1115;Mike;Frantz;14.10.1986;64;Midfielder;right;182
1116;Timothy;Chandler;29.03.1990;64;Defender;right;186
1117;Alexander;Esswein;25.03.1990;64;Midfielder;right;183
1118;Robert;Mak;8.03.1991;152;Forward;right;179
1119;Stefan;Bell;24.08.1991;64;Defender;right;192
1120;Niko;Bungert;24.10.1986;64;Defender;right;188
1121;Julian;Baumgartlinger;2.01.1988;10;Midfielder;right;183
1122;Yunus;Malli;24.02.1992;64;Midfielder;right;179
1123;Nicolai;Muller;25.09.1987;64;Midfielder;right;173
1124;Eugen;Polanski;17.03.1986;137;Midfielder;right;183
1125;Marcel;Risse;17.12.1989;64;Midfielder;right;183
1126;Mario;Gavranovic;24.11.1989;166;Forward;right;175
1127;Adam;Szalai;9.12.1987;74;Forward;right;193
1128;Anthony;Ujah;14.10.1990;126;Forward;right;183
1129;Antonio;Rukavina;26.01.1984;148;Defender;right;176
1130;Sebastian;Maier;18.09.1993;64;Midfielder;right;179
1131;Joao Felipe;Schmidt Urbano;19.05.1993;23;Midfielder;left;184
1132;Kevin;Volland;30.07.1992;64;Forward;left;179
1133;Bobby Shou;Wood;15.11.1992;185;Forward;right;180
1134;Thomas;Kessler;20.01.1986;64;Goalkeeper;right;197
1135;Sebastian;Jung;22.06.1990;64;Defender;right;179
1136;Ruben Miguel;Nunes Vezo;25.04.1994;138;Defender;right;182
1137;Matthias;Lehmann;28.05.1983;64;Midfielder;right;179
1138;Alexander;Meier;17.01.1983;64;Forward;right;196
1139;Pirmin;Schwegler;9.03.1987;166;Midfielder;right;178
1140;Timo;Horn;12.05.1993;64;Goalkeeper;left;192
1141;Pedro;Tonon Geromel;21.09.1985;23;Defender;right;190
1142;Mitchell;Weiser;21.04.1994;64;Midfielder;right;176
1143;Andre Filipe;Tavares Gomes;30.07.1993;138;Midfielder;right;188
1144;Christian;Clemens;4.08.1991;64;Midfielder;right;179
1145;Slawomir;Peszko;19.02.1985;137;Midfielder;right;173
1146;Sascha;Riether;23.03.1983;64;Defender;right;174
1147;Odise;Roshi;22.05.1991;2;Midfielder;right;187
1148;Mark;Uth;24.08.1991;64;Forward;left;185
1149;Leonardo;Bittencourt;19.12.1993;64;Midfielder;right;171
1150;Mathias;Olivera Miramontes;31.10.1997;186;Defender;left;184
1151;Anwar;El Ghazi;3.05.1995;122;Forward;right;189
1152;Maximiliano Eduardo;Meza;15.12.1992;7;Midfielder;right;180
1153;Daniel;Brosinski;17.07.1988;64;Defender;right;178
1154;Nicolas;Hofler;9.03.1990;64;Midfielder;right;181
1155;Morgan;Poaty;15.07.1997;61;Defender;left;177
1156;Max;Grun;5.04.1987;64;Goalkeeper;right;190
1157;Mergim;Mavraj;9.06.1986;64;Defender;left;189
1158;Johannes;Geis;17.08.1993;64;Midfielder;right;181
1159;Felix;Klaus;13.09.1992;64;Midfielder;right;179
1160;Pierre;Lees Melou;25.05.1993;61;Midfielder;right;185
1161;Janik;Haberer;2.04.1994;64;Midfielder;right;186
1162;Marc-Oliver;Kempf;28.01.1995;64;Defender;left;186
1163;Florian;Niederlechner;24.10.1990;64;Forward;right;186
1164;Julian;Brandt;2.05.1996;64;Midfielder;right;183
1165;Alexander;Stolz;13.10.1983;64;Goalkeeper;right;189
1166;Alessio;Romagnoli;12.01.1995;82;Defender;left;188
1167;Federico;Mattiello;14.07.1995;82;Defender;right;182
1168;Hakan;Calhanoglu;8.02.1994;64;Midfielder;right;178
1169;Marco;Terrazzino;15.04.1991;64;Forward;right;176
1170;Simon;Zoller;26.06.1991;64;Forward;right;179
1171;Jonathan Renato;Barbosa;10.07.1991;23;Forward;right;173
1172;Bruno Andre;Cavaco Jordao;12.10.1998;138;Midfielder;right;180
1173;Bassem;Srarfi;25.06.1997;177;Midfielder;left;176
1174;Gustavo Raul;Gomez Portillo;6.05.1993;134;Defender;right;185
1175;Hannes Thor;Halldorsson;27.04.1987;75;Goalkeeper;right;194
1176;Martin Andres;Silva Leites;25.03.1983;186;Goalkeeper;right;187
1177;Marcel;Heller;12.02.1986;64;Midfielder;right;176
1178;Benjamin;Hubner;4.07.1989;64;Defender;left;193
1179;Albert;Gudmundsson;15.06.1997;75;Forward;right;177
1180;Sebastian;Langkamp;15.01.1988;64;Defender;right;191
1181;Matthias;Ostrzolek;5.06.1990;64;Defender;left;178
1182;Paul;Verhaegh;1.09.1983;122;Defender;right;178
1183;Daniel;Baier;18.05.1984;64;Midfielder;right;176
1184;Ja-Cheol;Koo;27.02.1989;89;Midfielder;right;183
1185;Jan;Moravek;1.11.1989;44;Midfielder;right;180
1186;Koen;Casteels;25.06.1992;16;Goalkeeper;left;197
1187;Tom;Starke;18.03.1981;64;Goalkeeper;right;194
1188;Andreas;Beck;13.03.1987;141;Defender;right;180
1189;Fabian;Johnson;11.12.1987;64;Midfielder;right;183
1190;Jannik;Vestergaard;3.08.1992;47;Defender;right;199
1191;Roberto Firmino;Barbosa de Oliveira;2.10.1991;23;Forward;right;181
1192;Dominik;Kaiser;16.09.1988;64;Midfielder;right;171
1193;Sebastian;Rudy;28.02.1990;64;Midfielder;right;180
1194;Sejad;Salihovic;8.10.1984;21;Midfielder;left;182
1195;Tobias;Strobl;12.05.1990;64;Midfielder;right;188
1196;Sven;Schipplock;8.11.1988;64;Forward;right;186
1197;Federico;Ricca Rostagnol;1.12.1994;186;Defender;left;178
1198;Andre;Hahn;13.08.1990;64;Forward;right;185
1199;Erick Cathriel;Cabaco Almada;19.04.1995;186;Defender;right;186
1200;Luiz Felipe;Ramos Marchi;22.03.1997;23;Defender;right;187
1201;Jens;Grahl;22.09.1988;64;Goalkeeper;right;192
1202;Diego;Demme;21.11.1991;64;Midfielder;right;170
1203;Lukas;Rupp;8.01.1991;64;Midfielder;right;178
1204;Ermin;Bicakcic;24.01.1990;21;Defender;right;185
1205;Tin;Jedvaj;28.11.1995;41;Defender;right;184
1206;William;de Asevedo Furtado;3.04.1995;23;Defender;right;172
1207;Philipp;Tschauner;3.11.1985;64;Goalkeeper;right;196
1208;Max;Kruse;19.03.1988;64;Forward;left;180
1209;Merveille Valthy Streeker;Ndockyt;20.07.1998;38;Midfielder;right;178
1210;Fin;Bartels;7.02.1987;64;Midfielder;right;176
1211;Gonzalo;Escalante;27.03.1993;7;Midfielder;right;182
1212;Simon;Terodde;2.03.1988;64;Forward;right;192
1213;Ronael;Pierre-Gabriel;13.06.1998;61;Defender;right;177
1214;Kevin;Kampl;9.10.1990;64;Midfielder;right;178
1215;Robert;Almer;20.03.1984;10;Goalkeeper;left;194
1216;Munir;El Haddadi Mohamed;1.09.1995;158;Forward;left;175
1217;Aritz;Elustondo Irribaria;28.03.1994;158;Defender;right;180
1218;Alvaro;Odriozola Arzallus;14.12.1995;158;Defender;right;175
1219;Robbie;Kruse;5.10.1988;9;Forward;right;179
1220;Patric;Klandt;29.09.1983;64;Goalkeeper;right;184
1221;Jorge;Ruiz Ojeda;27.09.1995;158;Goalkeeper;right;188
1222;David;Soria Solis;4.04.1993;158;Goalkeeper;right;192
1223;Steven;Fortes;17.04.1992;61;Defender;right;192
1224;Gabriele;Marchegiani;3.06.1996;82;Goalkeeper;right;183
1225;Alvaro Jose;Jimenez Guerrero;19.05.1995;158;Midfielder;right;176
1226;Daniele;Verde;20.06.1996;82;Forward;left;168
1227;Jan;Zimmermann;19.04.1985;64;Goalkeeper;left;190
1228;Danny;Latza;7.12.1989;64;Midfielder;right;179
1229;Christian Guillermo Martin;Ramos Garagay;4.11.1988;135;Defender;right;185
1230;Christopher Paolo Cesar;Hurtado Huertas;27.07.1990;135;Midfielder;right;176
1231;Sergei;Ignashevich;14.07.1979;141;Defender;right;187
1232;Kasper;Dolberg;6.10.1997;47;Forward;right;187
1233;Unai;Nunez Gestoso;30.01.1997;158;Defender;right;186
1234;Inigo;Cordoba Kerejeta;13.03.1997;158;Midfielder;left;180
1235;Luis Jan Piers;Advincula Castrillon;2.03.1990;135;Defender;right;178
1236;Ramazan;Ozcan;28.06.1984;10;Goalkeeper;left;187
1237;Fares;Bahlouli;8.04.1995;61;Midfielder;right;182
1238;Caiuby Francisco;da Silva;14.07.1988;23;Midfielder;left;184
1239;Borja;Mayoral Moya;5.04.1997;158;Forward;right;182
1240;Gabriel;Salazar Rojo;18.06.1996;158;Forward;"""""";178
1241;Theo Bernard Fran�ois;Hernandez;6.10.1997;61;Defender;left;184
1242;Amath;Diedhiou Ndiaye;16.07.1996;147;Forward;right;173
1243;Panagiotis;Retsos;9.08.1998;156;Defender;right;186
1244;Christian Alberto;Cueva Bravo;23.11.1991;135;Midfielder;right;169
1245;Jose Manuel;Rodriguez Benito;3.03.1992;158;Defender;left;189
1246;Hirving Rodrigo;Lozano Bahena;30.07.1995;110;Forward;right;177
1247;Danny;Blum;7.01.1991;64;Midfielder;left;184
1248;Samuel;Bastien;26.09.1996;16;Midfielder;right;177
1249;Edoardo;Goldaniga;2.11.1993;82;Defender;right;188
1250;Federico;Bernardeschi;16.02.1994;82;Midfielder;left;183
1251;Stefano;Sensi;5.08.1995;82;Midfielder;right;168
1252;Junior Osmar Ignacio;Alonso Mujica;9.02.1993;134;Defender;left;184
1253;Rolando;Mandragora;29.06.1997;82;Midfielder;left;183
1254;Saidy;Janko;22.10.1995;166;Defender;right;181
1255;Jason;Denayer;28.06.1995;16;Defender;right;184
1256;Ladislav;Krejci;5.07.1992;44;Forward;left;180
1257;Marco;Benassi;8.09.1994;82;Midfielder;right;184
1258;Giorgian Daniel;De Arrascaeta Benedetti;1.06.1994;186;Midfielder;right;172
1259;Joris;Kayembe Ditu;8.08.1994;16;Midfielder;left;182
1260;Adrian Ricardo;Centurion;19.01.1993;7;Midfielder;right;174
1261;Andrea;Petagna;30.06.1995;82;Forward;left;188
1262;Theodor;Gebre Selassie;24.12.1986;44;Defender;right;181
1263;Moise Bioty;Kean;28.02.2000;82;Forward;right;183
1264;Rani;Khedira;27.01.1994;64;Midfielder;right;188
1265;Roberto;Suarez Pier;16.02.1995;158;Defender;right;182
